invoiceno,stokawal,stokakhir,namabarang,jenisbarang,kodebarang,kuantitasbarang,month,day,year,cluster
787148,95,70,Miniroller Ace Oldfields Panjang dan Pendek,43,13820A,25,12,29,2022,Tidak Laris
787148,402,378,HTB dia. 19 s/d 16 ( 5 cm ),35,39403A,24,12,29,2022,Sangat Laris
787148,5,2,Zehn Cangcul,48,12214A,3,12,29,2022,Tidak Laris
787148,14,10,Kasa 1 x 1 ( Putih ),33,12321A,4,12,29,2022,Sangat Laris
787148,31,1,"RUCIKA type AW 1/2""",34,11001A,30,12,29,2022,Sangat Laris
787149,378,370,HTB dia. 19 s/d 16 ( 5 cm ),35,39403A,8,12,30,2022,Sangat Laris
787149,20,11,Stainless Lokal Kait,49,24628A,9,12,30,2022,Tidak Laris
787149,103,93,Dextone Epoxy Adhesives,50,13221A,10,12,30,2022,Tidak Laris
787149,15,6,"Readymix Beton K500, Tanpa Pompa",51,12311A,9,12,30,2022,Tidak Laris
787149,10,6,Kasa 1 x 1 ( Putih ),33,12321A,4,12,30,2022,Sangat Laris
787149,28,24,Zehn Sekop Gagang Besi,52,19302A,4,12,30,2022,Tidak Laris
787149,24,20,Zehn Sekop Gagang Besi,52,19302A,4,12,30,2022,Tidak Laris
787149,378,368,HTB dia. 19 s/d 16 ( 5 cm ),35,39403A,10,12,30,2022,Sangat Laris
787149,368,358,HTB dia. 19 s/d 16 ( 5 cm ),35,39403A,10,12,30,2022,Sangat Laris
787149,2,0,Zehn Cangcul,48,12214A,2,12,30,2022,Tidak Laris
787149,6,1,Kasa 1 x 1 ( Putih ),33,12321A,5,12,30,2022,Sangat Laris
787149,1,0,"RUCIKA type AW 1/2""",34,11001A,1,12,30,2022,Sangat Laris
787149,358,348,HTB dia. 19 s/d 16 ( 5 cm ),35,39403A,10,12,30,2022,Sangat Laris
787149,11,7,Stainless Lokal Kait,49,24628A,4,12,30,2022,Tidak Laris
787149,11,8,Dextone Epoxy Adhesives,50,13221A,3,12,30,2022,Tidak Laris
787149,6,1,"Readymix Beton K500, Tanpa Pompa",51,12311A,5,12,30,2022,Tidak Laris
787149,1,0,Kasa 1 x 1 ( Putih ),33,12321A,1,12,30,2022,Sangat Laris
787149,20,12,Zehn Sekop Gagang Besi,52,19302A,8,12,30,2022,Tidak Laris
787149,348,344,HTB dia. 19 s/d 16 ( 5 cm ),35,39403A,4,12,30,2022,Sangat Laris
